teamName,enrollment,class,headSchool,co-opingSchools,district,latitude,longitude,rank0g,rank1g,rank2g,rank3g,rank4g,rank5g,rank6g,rank7g,rank8g,rank9g,sqmg,rank10g,rankLast3g,rankAvgg,rank0b,rank1b,rank2b,rank3b,rank4b,rank5b,rank6b,rank7b,rank8b,rank9b,sqmb,rank10b,rankLast3b,rankAvgb
Logan-Magnolia,148,1A,Logan-Magnolia ,,Ridge View,41.6430472,-95.7891614,1,1,1,1,1,1,1,1,1,1,1,1.00,1.00,1.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Aplington-Parkersburg,180,1A,Aplington-Parkersburg ,,Marshalltown,42.5820329,-92.8845695,5,10,3,3,2,3,3,2,3,2,1,4.00,2.75,3.78,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Kee, Lansing",102,1A,"Kee, Lansing ",,Cedar Falls,43.3603,-91.2218,4,6,4,5,6,4,4,4,4,3,1,6.00,4.00,4.56,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Regina, Iowa City",163,1A,"Regina, Iowa City ",,Iowa City (Regina),41.6678,-91.504,2,2,11,4,4,6,5,5,5,4,1,5.00,5.00,4.89,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"AHSTW, Avoca",166,1A,"AHSTW, Avoca ",,Mount Ayr,41.4766571,-95.3380549,16,14,16,10,9,8,8,8,8,5,1,3.00,8.00,10.78,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Denver,179,1A,Denver ,,Cedar Falls,42.6713718,-92.3374045,7,4,2,2,5,2,2,3,2,6,1,7.00,2.25,3.22,12,7,6,7,8,10,10,10,6,9,1,6.00,8.67,8.44
Hudson,175,1A,Hudson ,,Marshalltown,42.406653,-92.4554671,3,3,6,6,3,5,7,7,7,7,1,2.00,7.00,5.22,21,21,21,21,16,16,16,16,16,,,,16.00,18.22
Pekin,160,1A,Pekin ,,Iowa City (Regina),41.1327937,-92.0826771,8,7,7,7,7,7,6,6,6,8,1,9.00,6.00,6.78,8,6,7,8,9,8,7,7,8,7,1,10.00,7.33,7.56
Van Meter,175,1A,Van Meter ,,Mount Ayr,41.5333223,-93.9543949,21,21,21,21,21,21,21,16,16,9,1,10.00,17.25,19.89,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Nodaway Valley,155,1A,Nodaway Valley ,,Mount Ayr,41.3052657,-94.4613543,21,21,21,21,16,11,11,16,16,10,1,8.00,14.75,17.11,5,4,4,2,2,2,2,2,3,2,1,2.00,2.33,2.89
Manson Northwest Webster,166,1A,Manson Northwest Webster ,,Ridge View,42.5291439,-94.5341421,21,21,21,21,21,21,21,21,21,11,1,11.00,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"St. Edmond, Fort Dodge",141,1A,"St. Edmond, Fort Dodge ",,Ridge View,42.511044,-94.167149,16,13,13,12,12,12,12,11,11,12,1,14.00,11.25,12.44,21,13,14,14,15,16,16,16,16,,,,16.00,15.67
"Prince of Peace Catholic, Clinton",46,1A,"Prince of Peace Catholic, Clinton ",,Iowa City (Regina),41.842821,-90.193655,16,21,21,21,21,21,16,16,16,13,1,15.00,16.00,18.78,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Madrid,148,1A,Madrid ,,Marshalltown,41.8779511,-93.8156689,21,21,21,21,21,21,21,21,21,14,1,12.00,21.00,21.00,1,2,2,3,3,3,3,3,1,1,1,1.00,2.33,2.33
Sumner-Fredericksburg,172,1A,Sumner-Fredericksburg ,,Cedar Falls,42.8474801,-92.0915633,21,21,21,21,21,21,21,21,21,15,1,13.00,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Calamus-Wheatland,99,1A,Calamus-Wheatland ,,Iowa City (Regina),41.8316906,-90.8382014,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,2,12,13,15,16,6,5,5,5,3,1,3.00,5.00,8.78
South Winneshiek,141,1A,"South Winneshiek, Calmar ",,Cedar Falls,43.1835847,-91.8640482,13,15,14,14,14,15,15,16,16,21,,,15.75,14.67,6,5,5,6,6,5,6,6,7,4,1,8.00,6.33,5.78
