teamName,enrollment,class,y,headSchool,co-opingSchools,district,latitude,longitude,rank0g,rank1g,rank2g,rank3g,rank4g,rank5g,rank6g,rank7g,rank8g,rank9g,sqmg,rank10g,rankLast3g,rankAvgg,rank0b,rank1b,rank2b,rank3b,rank4b,rank5b,rank6b,rank7b,rank8b,rank9b,sqmb,rank10b,rankLast3b,rankAvgb
Madrid,148,1A,2019,Madrid ,,Marshalltown,41.8779511,-93.8156689,12,21,21,21,21,21,21,21,21,21,,,16.50,12.00,1,21,21,21,21,21,21,21,21,,,,11.00,1.00
Earlham,153,1A,2019,Earlham ,,Mount Ayr,41.4915674,-94.1229834,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,2,21,21,21,21,21,21,21,21,,,,11.50,2.00
Calamus-Wheatland,99,1A,2019,Calamus-Wheatland ,,Iowa City (Regina),41.8316906,-90.8382014,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,3,21,21,21,21,21,21,21,21,,,,12.00,3.00
Nodaway Valley,155,1A,2019,Nodaway Valley ,,Mount Ayr,41.3052657,-94.4613543,8,21,21,21,21,21,21,21,21,21,,,14.50,8.00,4,21,21,21,21,21,21,21,21,,,,12.50,4.00
"Maquoketa Valley, Delhi",151,1A,2019,"Maquoketa Valley, Delhi ",,Iowa City (Regina),42.4297143,-91.3309789,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,5,21,21,21,21,21,21,21,21,,,,13.00,5.00
South Winneshiek,141,1A,2019,"South Winneshiek, Calmar ",,Cedar Falls,43.1835847,-91.8640482,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,6,21,21,21,21,21,21,21,21,,,,13.50,6.00
"West Fork, Sheffield",147,1A,2019,"West Fork, Sheffield ",,Marshalltown,42.897469,-93.218,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,7,21,21,21,21,21,21,21,21,,,,14.00,7.00
"Newman Catholic, Mason City",106,1A,2019,"Newman Catholic, Mason City ",,Marshalltown,43.1328,-93.2393,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,8,21,21,21,21,21,21,21,21,,,,14.50,8.00
Pekin of Packwood,160,1A,2019,Pekin ,,Iowa City (Regina),41.1327937,-92.0826771,9,21,21,21,21,21,21,21,21,21,,,15.00,9.00,9,21,21,21,21,21,21,21,21,,,,15.00,9.00
Ogden,157,1A,2019,Ogden ,,Mount Ayr,42.0395595,-94.0320167,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,10,21,21,21,21,21,21,21,21,,,,15.50,10.00
"Tri-Center, Neola",163,1A,2019,"Tri-Center, Neola ",,Ridge View,41.4488816,-95.6155615,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,11,21,21,21,21,21,21,21,21,,,,16.00,11.00
"Gehlen Catholic, LeMars",116,1A,2019,"Gehlen Catholic, LeMars ",,Ridge View,42.7935,-96.1558,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,12,21,21,21,21,21,21,21,21,,,,16.50,12.00
"St. Albert, Council Bluffs",125,1A,2019,"St. Albert, Council Bluffs ",,Ridge View,41.262,-95.8219,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,13,21,21,21,21,21,21,21,21,,,,17.00,13.00
Saint Ansgar,137,1A,2019,Saint Ansgar ,,Cedar Falls,43.3784811,-92.9203887,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,14,21,21,21,21,21,21,21,21,,,,17.50,14.00
"East Marshall, LeGrand",173,1A,2019,"East Marshall, LeGrand ",,Marshalltown,42.0076,-92.77862,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,15,21,21,21,21,21,21,21,21,,,,18.00,15.00
"Regina, Iowa City",163,1A,2019,"Regina, Iowa City ",,Iowa City (Regina),41.6678,-91.504,5,21,21,21,21,21,21,21,21,21,,,13.00,5.00,20,21,21,21,21,21,21,21,21,,,,20.50,20.00
Hudson,175,1A,2019,Hudson ,,Marshalltown,42.406653,-92.4554671,2,21,21,21,21,21,21,21,21,21,,,11.50,2.00,20,21,21,21,21,21,21,21,21,,,,20.50,20.00
"Marquette Catholic, Bellevue",52,1A,2019,"Marquette Catholic, Bellevue ",,Iowa City (Regina),42.2599,-90.429,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,20,21,21,21,21,21,21,21,21,,,,20.50,20.00
ACGC High School,187,1A,,ACGC  ,,,41.67055,-94.494,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,20,21,21,21,21,21,21,21,21,,,,20.50,20.00
Denver,179,1A,2019,Denver ,,Cedar Falls,42.6713718,41.670555680461,7,21,21,21,21,21,21,21,21,21,,,14.00,7.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Logan-Magnolia,148,1A,2019,Logan-Magnolia ,,Ridge View,41.6430472,-95.7891614,1,21,21,21,21,21,21,21,21,21,,,11.00,1.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Aplington-Parkersburg,180,1A,2019,Aplington-Parkersburg ,,Marshalltown,42.5820329,-92.8845695,4,21,21,21,21,21,21,21,21,21,,,12.50,4.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Kee, Lansing",102,1A,2019,"Kee, Lansing ",,Cedar Falls,43.3603,-91.2218,6,21,21,21,21,21,21,21,21,21,,,13.50,6.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"AHSTW, Avoca",166,1A,2019,"AHSTW, Avoca ",,Mount Ayr,41.4766571,-95.3380549,3,21,21,21,21,21,21,21,21,21,,,12.00,3.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Van Meter,175,1A,2019,Van Meter ,,Mount Ayr,41.5333223,-93.9543949,10,21,21,21,21,21,21,21,21,21,,,15.50,10.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Manson Northwest Webster,166,1A,2019,Manson Northwest Webster ,,Ridge View,42.5291439,-94.5341421,11,21,21,21,21,21,21,21,21,21,,,16.00,11.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"St. Edmond, Fort Dodge",141,1A,2019,"St. Edmond, Fort Dodge ",,Ridge View,42.511044,-94.167149,14,21,21,21,21,21,21,21,21,21,,,17.50,14.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Prince of Peace Catholic, Clinton",46,1A,2019,"Prince of Peace Catholic, Clinton ",,Iowa City (Regina),41.842821,-90.193655,15,21,21,21,21,21,21,21,21,21,,,18.00,15.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Sumner-Fredericksburg,172,1A,2019,Sumner-Fredericksburg ,,Cedar Falls,42.8474801,-92.0915633,13,21,21,21,21,21,21,21,21,21,,,17.00,13.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Sioux Central, Sioux Rapids",174,1A,2019,"Sioux Central, Sioux Rapids ",,Ridge View,42.8933093,-95.1511051,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Central Springs,161,1A,2019,Central Springs ,,Cedar Falls,43.2907924,-93.2032593,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,20,21,21,21,21,21,21,21,21,,,,20.50,20.00
Woodbine,96,1A,2019,Woodbine ,,Ridge View,41.7340073,-95.7074104,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Central, Elkader",94,1A,2019,"Central, Elkader ",,Iowa City (Regina),42.8538739,-91.4054159,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"North Linn, Troy Mills",163,1A,2019,"North Linn, Troy Mills ",,Cedar Falls,42.291,-91.6615,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Nashua-Plainfield,119,1A,2019,Nashua-Plainfield ,,Cedar Falls,42.9522221,-92.5386382,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Collins-Maxwell,88,1A,2019,Collins-Maxwell ,,Marshalltown,41.8919322,-93.3996546,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
IKM-Manning,150,1A,2019,IKM-Manning ,,Mount Ayr,41.9091382,-95.0651328,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"BCLUW, Conrad",132,1A,2019,"BCLUW, Conrad ",,Marshalltown,42.2247077,-92.8746455,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Durant,169,1A,2019,Durant ,,Iowa City (Regina),41.5997498,-90.9107037,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Wilton,175,1A,2019,Wilton ,,Iowa City (Regina),41.5889154,-91.0168179,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Siouxland Christian,53,1A,2019,Siouxland Christian ,,Ridge View,42.474829,-96.328933,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Cascade, Western Dubuque",174,1A,2019,"Cascade, Western Dubuque ",,Iowa City (Regina),42.3008,-91.018142,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Woodward Academy,171,1A,2019,Woodward Academy ,,Marshalltown,41.872145,-93.9159,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Trinity Christian High School,57,1A,2019,Trinity Christian High School ,,Ridge View,43.195,-96.148165,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"North Butler, Greene",119,1A,2019,"North Butler, Greene ",,Cedar Falls,42.8958066,-92.8024158,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Ridge View,153,1A,2019,Ridge View ,,Ridge View,42.487526,-95.5372,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Twin Cedars, Bussey",69,1A,2019,"Twin Cedars, Bussey ",,Marshalltown,41.2066696,-92.8840881,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"South O'Brien, Paullina",153,1A,2019,"South O'Brien, Paullina ",,Ridge View,42.9791479,-95.6880657,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Maharishi, Fairfield",35,1A,2019,Maharishi School ,,---,41.015,-91.967,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"North Iowa, Buffalo Center",96,1A,2019,"North Iowa, Buffalo Center ",,Cedar Falls,43.3857909,-93.9466193,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Scattergood Friends,23,1A,2019,Scattergood Friends ,,---,41.664,-91.308,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Clarksville,66,1A,2019,Clarksville ,,Cedar Falls,42.7847,-92.6676907,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Clayton Ridge, Guttenberg",148,1A,2019,"Clayton Ridge, Guttenberg ",,Cedar Falls,42.7899897,-91.1029068,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Don Bosco, Gilbertville",81,1A,2019,"Don Bosco, Gilbertville ",,Cedar Falls,42.4185,-92.2159,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Dunkerton,112,1A,2019,Dunkerton ,,Cedar Falls,42.5699952,-92.1609371,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"East Buchanan, Winthrop",137,1A,2019,"East Buchanan, Winthrop ",,Cedar Falls,42.4733189,-91.7343327,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Edgewood-Colesburg,123,1A,2019,Edgewood-Colesburg ,,Cedar Falls,42.6444313,-91.4012515,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Janesville,86,1A,2019,Janesville ,,Cedar Falls,42.6438713,-92.4587970,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Lake Mills,158,1A,2019,Lake Mills ,,Cedar Falls,43.4193290,-93.5325269,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"MFL MarMac, Monona",147,1A,2019,"MFL MarMac, Monona",,Cedar Falls,43.0516494,-91.3893041,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"North Tama, Traer",114,1A,2019,"North Tama, Traer ",,Cedar Falls,42.1936007,-92.4654688,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Northwood-Kensett,120,1A,2019,Northwood-Kensett ,,Cedar Falls,43.4441245,-93.2210371,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Postville,172,1A,2019,Postville ,,Cedar Falls,43.0847020,-91.5682015,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Riceville,79,1A,2019,Riceville ,,Cedar Falls,43.3638571,-92.5540687,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Rockford,108,1A,2019,Rockford ,,Cedar Falls,43.0521922,-92.9485301,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Tripoli,95,1A,2019,Tripoli ,,Cedar Falls,42.8080363,-92.2582341,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Turkey Valley, Jackson Junction",85,1A,2019,"Turkey Valley, Jackson Junction ",,Cedar Falls,43.1149733,-92.0323906,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Valley Lutheran ,38,1A,2019,"Valley Lutheran, Cedar Falls ",,Cedar Falls,42.496,-92.420,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Wapsie Valley, Fairbank",129,1A,2019,"Wapsie Valley, Fairbank ",,Cedar Falls,42.6391512,-92.0471199,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Alburnett,149,1A,2019,Alburnett ,,Iowa City (Regina),42.1483285,-91.6185065,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Columbus Community, Columbus Junction",157,1A,2019,"Columbus Community, Columbus Junction ",,Iowa City (Regina),41.2786364,-91.3598775,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Easton Valley,118,1A,2019,Easton Valley ,,Iowa City (Regina),42.0502844,-90.3960275,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
